A+ Nursery,A+ Nursery produces a huge variety of landscaping plants with a specialty in edible landscaping.,
Bake Room,"With a German deck oven at the heart of the bakery, the Bake Room churns out artisan-crafted naturally leavened breads and breakfast pastries such as croissants, brioche and danish. They use organic ingredients as much as possible and source flour locally from local flour mills.",https://www.facebook.com/bakeroomsc/
Banana Manna,"Owners Chancey Lindsey-Peake and her husband Denis specialize in 15 varieties of banana breads and pound cakes and are based out of Greenville. Their mission is to provide the freshest, moistest and tastiest custom baked banana bread you have ever put in your mouth. The best part of their mission is the LOVE that is baked into every loaf. Bananamanna.com",https://www.facebook.com/BananaManna
Beechwood Farms,"Beechwood Farms is a family owned farm located on 400+ acres in the foothills of Northern Greenville County. Billy Ledford and his family has been producing a variety of 'vine ripened' fresh fruits and vegetables for more than 50 years. Along with the TD Saturday Market you can purchase Beechwood Farms produce at our u-pick roadside market, local grocery stores, and other farmers markets across the Upstate of South Carolina. Mybeechwoodfarms.com",https://www.facebook.com/mybeechwoodfarms/timeline
Bellew's Market,"Bellew's Market is one of the biggest fresh produce markets in Spartanburg, South Carolina. They offer a variety of fresh vegetables and fruits from Strawberry Hills Farm. In addition, they have a canning division that focuses on old fashioned recipes from the '50s and '60s. They offer over 25 types of jams, jellies, preserves and chow chow. Bellewsmarket.com",https://www.facebook.com/bellewsmarket?fref=ts
Bio-Way Farm,"Bio-Way Organic Farm is the result of Chris Sermons’ desire to transform his father’s land from a hunting retreat to a small market farm. Bio-Way Farm was officially established in 2004 and recent additions to the farm include a solar irrigation system as well as a 1,000 sq. foot greenhouse. With the goal of sustainability in mind, they are excited for the opportunity to continue providing fresh produce to Greenville’s growing population. Biowayfarm.com",
Blaine Owens Photography,"Blaine Owens Photography specializes in nature, landscapes, cityscapes and family or personal portraiture. Blaine has over 25 years of experience. In addition, Blaine has won many awards, including the Fuji Masterpiece presented by the Fuji Film Corporation, Seven Court of Honors presented by the SC Professional Photographers Association and First Place Scenic presented by the SC Professional Photographers Association. Greenvillescphotos.com",https://www.facebook.com/BlaineOwensPhotography/timeline
Blue Moon Specialty Foods,"Blue Moon Specialty Products was founded by Chris Walker after decades of experimenting with foods and flavors. Chris & his wife, Mary Pat, grow plants from seed, harvest them and then transform the raw foods into sauces, spices and spreads. Blue Moon sells their most popular spice, YEP! Shake, as well as an array of different barbeque sauces, buffalo sauces, marinades and hot sauces every week at the market. Bluemoonsc.com",https://www.facebook.com/bluemoonsc
CakeSmith,"CakeSmith celebrates life with sweets. They not only take pride in each small batch recipe, they take no short cuts while using local seasonal ingredients. Each cake is uniquely designed to reflect your personal style. Their fillings and icings are each made from real butter, fresh whole eggs and pure house-made vanilla bean extract. Greenvillecakesmith.com",https://www.facebook.com/greenvillecakesmith
Callaham Orchards,"Callaham Orchards specializes in growing a variety of fruits, berries, melons and vegetables. The Callaham family has farmed in the Upstate for approximately 200 years. The first part of the present farm was bought in 1938 by Edgar Callaham and was expanded to 120 acres in 1992.",https://www.facebook.com/pages/Callaham-Orchards/152822858065270?fref=ts
Colonial Milling,"The Stauffer family grows NON GMO heirloom variety's of corn on their 18th century plantation in Pauline South Carolina. They harvest their corn, hand select, and mill their corn on site with a pink granite stone mill. The results are a superior product that you can feel good about feeding to your family. Colonialmilling.com",https://www.facebook.com/Colonial-Milling-1563629637237119/
