1,Blue Ridge Creamery,artisinal cheese made from locally sourced South Carolina dairies.
1,Forx Farm,artisan Gouda cheeses.
1,Spinning Spider Creamery,a variety of artisan goat cheeses produced from the creamery’s own goats.
2,Bake Room,"baguettes, ciabatta, and other freshly baked breads, pastries, and tarts."
2,Butter Bunny Bakery,"homemade breads, sweet rolls, cookies, brownies, and ganache-filled cupcakes."
2,Carolina Girl Cooks,"offering a variety of exotic tea cookies, from lavender, orange & cardamom, rosemary, and much more."
2,Cravings Bark,"specialty dessert barks, molded chocolates,  and hand-dipped pretzels."
2,Flour. Sugar. Happiness.,"a delicious variety of scratch biscuits: buttermilk, blueberry, cheddar and sour-cream,  everything biscuits, and strawberry cream-cheese."
2,Great Harvest Bread Company,"freshly baked breads, muffins, scones, rolls and fruit bars."
2,Swamp Rabbit Café,"fresh scones, shortbread, cookies, and other baked treats."
2,The Desserterie,"home of the cronut. 50% croissant, 50% doughnut, 100% delicious."
2,Upcountry Provisions Bakery & Bistro,"freshly made cinnamon rolls, ham & cheese croissants, muffins, scones, cookies, pizzas and focaccia bread."
3,Amelia Sage Handcrafted Organic Body Care Products,"felted wood dryer balls, bath salts, body butter, salves, and much more."
3,Creative Living Wellness,"handcrafted salves, skin serums, deodorants, and sleep lotions."
3,Inglenook Soaps & Co.,"handcrafted Carolina clay soaps of all kinds, beer soaps and beard care products."
3,Modern Forestry,soy wax melts and candles.
3,Moore Simple,"handcrafted soaps infused with native Appalachian plants, salves, balms and dried herbs."
3,Southern Hills Lavender,"handmade lavender soaps, scrubs, candles, and herbal products."
4,Double-Blessing Farm,"fresh goat milk, goat milk fudge, and other goat milk based goods."
11,The Chillwagon,"handmade organic ice cream, ice cream sandwiches, and “The Fronut”."
11,Island Noodles,freshly made yaki-soba noodles from high-protein wheat.
11,King of Pops,"hand-crafted, gourmet popsicles from fresh and local ingredients."
11,Robino’s,"cultivating food for the soul. local, healthy eats."
11,The Streatery,chef driven curbside cuisine.
11,Swamp Rabbit Salads,"meat free, fresh, gourmet salads to go!"
5,"Bare Bottom Farms, LLC.","fresh chard, beans, cantaloupe, carrots, sweet corn, gourds, herbs, and much more."
5,Beechwood Farms,"providing strawberries, corn, okra, beans, pees, zucchini, cucumbers, squash, potatoes, cantaloupes, variety of greens, onions, cabbages, beets, peppers, and eggplants."
5,Blue Ridge Berries,freshly grown blueberries!
5,"Cedar Creek Mountain Nursery, LLC.","hydroponic lettuce and herbs, blueberries, blackberries, grapes, raspberries, and hydroponic tomatoes."
5,Creasman Farms,"apples, peaches, berries, corn, cucumbers, plums, pears, nectarines, and much much more."
5,"Grace Farm’s Petals and Poultry, LLC.",Non-GMO soy free eggs and seasonal vegetables.
5,Greenbrier Farms,"parsley, Napa cabbage, green beans, squashes, leeks, radishes, kohlrabi, bok choy, and a variety of other fresh produce."
