Paulson's Pumpkin Patch,"Strawberries, sweet corn, musk melons, watermelons, tomatoes, apples, grapes, squash, pumpkins. Indian corn, and other fruits & vegetables in season. Free wagon rides through orchard and pumpkin patch.",pppmarket@sbcglobal.net,,Ionia,"11164 Belding Rd, Belding, MI 48809, USA",11164 Belding Rd,Belding,MI,48809,(616) 794-0922,,-85.296028,43.088245
Johnson's Giant Pumpkins,"See over 250 pumpkins on display, enjoy a 3-acre corn maze, wood carvers, gift, face painting, fall displays while munching on fresh farm donuts. Pick your own pumpkin during our fall season (open September 12-October 31).  We also offer several seasonal events-great for ""kids"" of all ages!  Visit our gift shop which offers crafts, delicious food items and decorations.",johnsonspumpkinfarm@gmail.com,http://www.johnsonsgiantpumpkins.net,Saginaw,"4715 N Portsmouth Rd, Saginaw, MI 48601, USA",4715 N Portsmouth Rd,Saginaw,MI,48601,(989) 752-3133,September 12-October 31),-83.838608,43.475224
Calvin Lutz Farms,"Fresh fruits and vegetables available in season. Open May-October, Monday-Saturday 10:00am-6:00pm, and Sunday 12:00pm-5:00pm.",fhaven@t-one.net,,Manistee,"8576 Chief Rd, Kaleva, MI 49645, USA",8576 Chief Rd,Kaleva,MI,49645,(231) 889-5594,"May-October, Monday-Saturday 10:00am-6:00pm, and Sunday 12:00pm-5:00pm",-86.101624,44.36628
Grow Benzie Farmers Market,"Grow Benzie Farmers Market is on Mondays, from 3:00pm - 7:00pm from mid June - Mid September. New this year will be music with local performers. Enjoy the freshest produce from loca farmers. Bridge Cards and Double Up Food Bucks accepted.",growbenzie@gmail.com,http://www.growbenzie.com/,Benzie,"5885 M-115, Frankfort, MI 49635, USA",5885 M-115,Frankfort,MI,49635,(231) 882-9801,,-86.127037,44.633091
Flint Farmers' Market,"One of Michigan's finest. We’re a year round public market with 50 vendors featuring several produce vendors, a great meat market, poultry, breads and baked goods, cheese, a wine shop, an art gallery, a café, middle-eastern and Mexican groceries and many unique gifts.  Open year-round on Tuesday, Thursday and Saturday.",info@flintfarmersmarket.com,http://flintfarmersmarket.com/,Genesee,"300 E 1st St, Flint, MI 48502, USA",300 E 1st St,Flint,MI,48502,(810) 232-1399,"year-round on Tuesday, Thursday and Saturday",-83.687782,43.017059
Pierport Farms,"Pierport Farms™ products are made from fresh fruit grown on farms and orchards surrounding Pierport, our Lake Michigan coastal community. The fruit is picked daily at its peak ripeness and prepared in small batches to create products with truly homemade flavor.",onekama@gmail.com,http://www.visitarcadiami.com/partner/arcadia/arcadia-home-page.htm,Manistee,"12467 Northwood Hwy, Bear Lake, MI 49614, USA",12467 Northwood Hwy,Bear Lake,MI,49614,(231) 889-5958,,-86.222481,44.422878
Antrim County Farmers Market,"Located behind the Senior Citizen Center. Choose assortment of organic foods, vegetables, local specialties, crafts and fruits. Hours are May - October, Fridays, from 8:00am - 12:30pm.",,,Antrim,"308 E Cayuga St, Bellaire, MI 49615, USA",308 E Cayuga St,Bellaire,MI,49615,(231) 533-6959,,-85.206177,44.975388
Secret Garden at Brys Estate,"The Secret Garden at Brys Estate consists of over 5,000 lavender plants, a fresh flower garden with an opportunity to cut a bouquet, strawberry and blueberry patches for u-pick when in season, an herb garden, and more! Guests can enjoy strolling through the garden, hilltop picnic area, and browsing a variety of handmade lavender products in the farmhouse-inspired garden shop.",info@brysestate.com,http://www.brysestate.com,Grand Traverse,"3309 Blue Water Rd, Traverse City, MI 49686, USA",3309 Blue Water Rd,Traverse City,MI,49686,(231) 223-9303,,-85.509605,44.883793
Uncle John's Cider Mill,"While at our farm, visit our bakery and enjoy fresh baked pies, breads, cookies and pastries. Before you leave, be sure to check out our gift shop and sample our wines in our tasting room, and take a leisurely stroll through the over 1.5 mile groomed nature trail. Open May - December with weekend activities in Sept. and October.",cider@ujcidermill.com,http://www.ujcidermill.com,Clinton,"S US 27, St Johns, MI 48879, USA",S US 27,St Johns,MI,48879,(989) 224-3686,May - December with weekend activities in Sept,-84.542648,42.957611
Coveyou Scenic Farm Market,"Coveyou Scenic Farm Market is now offering hayrides – the most scenic in Northern Michigan. The views of Walloon Lake, where Hemingway enjoyed many of his summers, are some of the nicest and most scenic around. The tractor-pulled hayrides are on a vintage farm trailer that meanders over the hills, through the orchards, into the wooded area and culminates with a visit to the pumpkin patch where the views of Walloon and the colors of the season are unmatched. After finding your “Great Pumpkin” they’ll load it aboard the trailer for the short trip back to the barn where apple cider and snacks are available for purchase. Hayrides are $6 per person and include the pumpkin of your choice from the field. Bring your camera to capture some great scrapbook memories including a traditional picture in the Coveyou “Family Tree” and in front of the Great Pumpkin Ruler. Hayrides are hourly from 12 to 4 pm on Saturdays and Sundays through October. Coveyou’s Farm Market also offers 1000’s of colorful Mums, assorted pre-picked pumpkins, decorative corn stalks, delicious fall veggies plus other locally grown produce and seasonal trimmings. Open Monday - Saturday 9am to 6pm.",coveyoufarm@gmail.com,http://coveyouscenicfarm.com,Emmet,"4160 US-131, Petoskey, MI 49770, USA",4160 US-131,Petoskey,MI,49770,(231) 347-0011,Monday - Saturday 9am to 6pm,-84.970848,45.315483
Bargy's Farm Market,"Fresh, local, in-season fruits and vegetables. Our own naturally raised beef-no hormones, fresh baked goods daily and homemade cherry pies and other varieties. Open June - October, call for harvesting times.",,,Antrim,"2946 US-31, Kewadin, MI 49648, USA",2946 US-31,Kewadin,MI,49648,(231) 264-0002,"June - October, call for harvesting times",-85.352097,44.99218
Cherry Point Farm & Market,"A 60 year tradition of marketing our fruits, vegetables, homemade baked goods, jams, jellies and fudge. Now continues with a lavendar labyrinth and festival, herb garden and our signature fish boil dinners. Call for times and dates open.",cherrypointmarket@oceana.net,,Oceana,"9600 W Buchanan Rd, Shelby, MI 49455, USA",9600 W Buchanan Rd,Shelby,MI,49455,(231) 861-2029,,-86.517609,43.632458
Montague Farmers Market,"The Montague Farmers Market is open 8:00 am. to Noon Wednesday and Saturday, June through October.",,http://www.cityofmontague.org/farmers_mkt.html,Muskegon,"4511 Church St, Montague, MI 49437, USA",4511 Church St,Montague,MI,49437,(231) 893-1155,8:00 am,-86.348381,43.426128
Cherry Street Market,"Located in the Heart of Northern Michigan and just miles from the cherry capitol of the world. Established in 1993 by the Ryan family, you will be surrounded by incredible displays of flowers, garden decor, delicious sweets and only the freshest hand-picked produce. Open Monday - Saturday, 8:00am - 9:00pm and Sunday 8:00am - 8:00pm, May - December.",CherryStreetMarket@yahoo.com,http://www.cherrystreetmarket.net/,Kalkaska,"303 West St, Kalkaska, MI 49646, USA",303 West St,Kalkaska,MI,49646,(231) 258-4946,"Monday - Saturday, 8:00am - 9:00pm and Sunday 8:00am - 8:00pm, May - December",-85.178482,44.742786
Kilcherman's Christmas Cove Farm,"We have fun growing 240 varieties of apples some of which date back to the 1600's. The climate is ideal for growing quality fruit - including apples, cherries, peaches and plums",,http://www.applejournal.com/christmascove/farm.html,Leelanau,"11573 N Kilcherman Rd, Northport, MI 49670, USA",11573 N Kilcherman Rd,Northport,MI,49670,(231) 386-5637,,-85.610352,45.153591
H & W Farms,"Family-owned, with a commercial cherry-pitting facility. The farm bottles its own cherry juice concentrate. Pitted red tart and dark sweet cherries (frozen), blueberries (frozen), 15 varieties of apples, honey, jellies, jam, pumpkins, squash, maple syrups, flavored applesauce, dried fruits and handmade crafts.",info@hwfruitfarms.com,http://www.hwfarms.com/,Ionia,"13375 Belding Rd, Belding, MI 48809, USA",13375 Belding Rd,Belding,MI,48809,(616) 691-8802,,-85.299072,43.087967
Iron Mountain Farmer's Market,"The Iron Mountain Main Street program hosts a wonderful Farmer's Market that features everything from fruits and vegetable to handcrafted organic products. The Market runs on Saturdaty's from 8am until 12pm on East A Street, behind City Hall.  June to October--call ahead for specific dates.",mainstreet@cityofironmountain.com,,Dickinson,"501 S Stephenson Ave, Iron Mountain, MI 49801, USA",501 S Stephenson Ave,Iron Mountain,MI,49801,(906) 774-8534,,-88.065552,45.818375
Geldersma Farms,"Fresh picked sweet corn, tomatoes, peppers, and several varieties of apples including Northern Spy.",,,Kent,"11148 Belding Rd NE, Belding, MI 48809, USA",11148 Belding Rd NE,Belding,MI,48809,(616) 691-8331,,-85.393608,43.082893
Westover Market,"Open May - Oct. Products include blueberries, black and red raspberries, gooseberries, annuals, perennials, shrubs, maple syrup, jams, pumpkins, vegetables.",westover@traverse.net,,Leelanau,"401 W Burdickville Rd, Maple City, MI 49664, USA",401 W Burdickville Rd,Maple City,MI,49664,(231) 228-5514,May - Oct,-85.863251,44.855579
Downtown Saginaw Farmer's Market,"Purchase in season fruits, vegetables and occasionally fresh baked goods every Monday, Wednesday and Friday, 10-3. Homemade soups can be purchased in the fall.  The Farm Market will be open Memorial Day weekend through October. Early season market features flowers.",saginawdsfm@yahoo.com,http://www.saginawfarmersmarket.org/,Saginaw,"507 S Washington Ave, Saginaw, MI 48607, USA",507 S Washington Ave,Saginaw,MI,48607,(989) 753-9168,Memorial Day weekend through October,-83.94101,43.428551
