Abbeville Farmers Market,Rhonda Matthews,rhonda@clemson.edu,,Open-Air,Abbeville,"Abbeville, SC 29620, USA",,864-446-2276,,Thursdays 4 p.m. - 8 pm,OPEN AIR/SEASONAL,,
Aiken County Farmers Market,Amanda Watson and Jenny Burghardt,farmersmarket@cityofaikensc.gov,,Open-Air/Covered,Aiken,"Aiken, SC, USA",,803-293-2214,,Tues and Thurs,OPEN AIR/SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=115+Williamsburg+Street+Southeast,+Aiken,+SC+29801"
All-Local Farmers Market,Amanda McClain,stateplate@gmail.com,,Open-Air/Covered,Abbeville,"711 Whaley St, Columbia, SC 29201, USA",,Richland,,"Saturdays, 8 a.m. - Noon",OPEN AIR/SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=711+Whaley+St.,+Columbia,+SC"
Allendale County Farmers Market,Roy Hollingsworth,stateplate@gmail.com,,Open-Air,Allendale,"US-301 & Bay St W, Allendale, SC 29810, USA",,803-584-4207,,"Fridays, 3 p.m. to 6 p.m.",OPEN AIR/SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=Bay+St.+and+US+Hwy+301,+Allendale,+SC+29810"
Anderson County Farmers Market,Matt Schell & Sharon Micometo,snicometo@andersoncountysc.org,,Open-Air,Anderson,"Anderson, SC 29622, USA",,864-231-7275,,"Tuesdays & Thursdays, 10 a.m. – until/Saturdays, 8 a.m.-until",OPEN AIR/SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=+Murray+Ave.+and+Tribble+St.,+Anderson,+SC+29624"
Ascension Lutheran-Seeds of Hope,Donna Bryan or Donna Bone,dhbryan@bellsouth.net,,Open-Air,Richland,"Columbia, SC 29206, USA",,"803-782-3840,",,"Saturdays, 8",SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=827+Wildwood+Ave.,+Columbia,+SC+29203+"
Ashland United Methodist Church Farmers Market-Seeds of Hope,Donna Bryan or Don Songer,dhbryan@bellsouth.net,,Open-Air,Richland,"Columbia, SC 29206, USA",,"803-782-3840,",,"Saturdays, 8 a.m. - Noon",SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=2600+Ashland+Rd,+Columbia,+SC+29210+"
Awendaw Farmers and Fresh Seafood Market,Donna Smith,awendaw@tds.net,,Open-Air,Charleston,"6971 Doar Rd, Awendaw, SC 29429, USA",,843-928-3100,,"2nd Saturday of the month, 9",SEASONAL,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=Town+Hall,+6971+Doar+Rd,+Awendaw,+SC+29429"
Barnwell Farmers' Market,Ella Elmore Title,awendaw@tds.net,,Open-Air/Covered,Abbeville,"9987 Dunbarton Blvd, Barnwell, SC 29812, USA",,cell:,,8,May - October,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=+9987+Dunbarton+Boulevard,+Barnwell,+SC+29812"
Beaufort Downtown Farmers Market,Liza Hill,lhill@cityofbeaufort.org,,Open-Air/Covered,Beaufort,"North St & Bladen St, Beaufort, SC 29902, USA",,843-525-7070,,"Wednesday, 3",May - October,,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAiOio1YAbHIIbb4khYELRVeHz_1X12b_g&q=Corner+of+North+Street+and+Bladen+Street,+Beaufort,+SC+29902"
